"species","decimalLatitude","decimalLongitude"
"Mesophyllum erubescens",NA,NA
"Mesophyllum erubescens",NA,NA
"Mesophyllum erubescens",-41.245,174.24
"Mesophyllum erubescens",-41.245,174.24
"Mesophyllum erubescens",-41.245,174.24
"Mesophyllum erubescens",-41.245,174.24
"Mesophyllum erubescens",-41.245,174.24
"Mesophyllum erubescens",-41.245,174.24
"Mesophyllum erubescens",NA,NA
"Mesophyllum erubescens",NA,NA
"Mesophyllum erubescens",NA,NA
"Mesophyllum erubescens",NA,NA
"Mesophyllum erubescens",-41.94486,-74.03019
"Mesophyllum erubescens",-41.94486,-74.03019
"Mesophyllum erubescens",-41.94486,-74.03019
"Mesophyllum erubescens",-39.69365,-73.38219
"Mesophyllum erubescens",NA,NA
"Mesophyllum erubescens",NA,NA
"Mesophyllum erubescens",NA,NA
"Mesophyllum erubescens",NA,NA
"Mesophyllum erubescens",-24.493889,-46.677778
"Mesophyllum erubescens",-14.64745,145.4525
"Mesophyllum erubescens",-13.25042,-176.12294
"Mesophyllum erubescens",-13.34141,-176.30728
"Mesophyllum erubescens",-13.34141,-176.30728
"Mesophyllum erubescens",-13.34114,-176.21495
"Mesophyllum erubescens",-37.018333,174.599722
"Mesophyllum erubescens",-7.90701,-140.53107
"Mesophyllum erubescens",-43.833333,-176.783333
"Mesophyllum erubescens",-43.766667,-176.816667
"Mesophyllum erubescens",-43.7,-176.633333
"Mesophyllum erubescens",-41.016667,173.883333
"Mesophyllum erubescens",-41.34,174.825
"Mesophyllum erubescens",-37.859833,176.986833
"Mesophyllum erubescens",-41.34,174.825
"Mesophyllum erubescens",-37.838583,176.874967
"Mesophyllum erubescens",-35.21745,174.180583
"Mesophyllum erubescens",-34.420833,172.85625
"Mesophyllum erubescens",-44.333333,-176.266667
"Mesophyllum erubescens",-36.856467,175.825817
"Mesophyllum erubescens",-36.819833,175.771717
"Mesophyllum erubescens",-41.348333,174.765
"Mesophyllum erubescens",-52.55,169.183333
"Mesophyllum erubescens",-37.859833,176.986833
"Mesophyllum erubescens",-35.21745,174.180583
"Mesophyllum erubescens",-36.886883,175.425967
"Mesophyllum erubescens",-36.8185,175.053433
"Mesophyllum erubescens",-36.966667,174.733333
"Mesophyllum erubescens",-36.8185,175.053433
"Mesophyllum erubescens",-40.87,174.920833
"Mesophyllum erubescens",-43.628667,172.928183
"Mesophyllum erubescens",-38.325133,174.702917
"Mesophyllum erubescens",-37.859833,176.986833
"Mesophyllum erubescens",-41.348333,174.765
"Mesophyllum erubescens",-35.6116,174.531933
"Mesophyllum erubescens",-36.8185,175.053433
"Mesophyllum erubescens",-34.828,173.410617
"Mesophyllum erubescens",-34.435133,172.71675
"Mesophyllum erubescens",-43.798233,-176.68355
"Mesophyllum erubescens",-43.815717,-176.705017
"Mesophyllum erubescens",-34.828,173.410617
"Mesophyllum erubescens",-38.705,178.050667
"Mesophyllum erubescens",-40.787033,172.95705
"Mesophyllum erubescens",-43.815717,-176.705017
"Mesophyllum erubescens",-36.8185,175.053433
"Mesophyllum erubescens",-40.785733,172.765783
"Mesophyllum erubescens",-35.196933,174.2161
"Mesophyllum erubescens",-36.8185,175.053433
"Mesophyllum erubescens",-41.35,174.766667
"Mesophyllum erubescens",-43.628667,172.928183
"Mesophyllum erubescens",-40.787033,172.95705
"Mesophyllum erubescens",-35.201333,174.205017
"Mesophyllum erubescens",-40.5,172.676667
"Mesophyllum erubescens",-38.705,178.050667
"Mesophyllum erubescens",-40.790883,172.95215
"Mesophyllum erubescens",-40.141667,176.865833
"Mesophyllum erubescens",-40.120533,176.874583
"Mesophyllum erubescens",-38.705,178.050667
"Mesophyllum erubescens",-36.376733,174.824133
"Mesophyllum erubescens",-41.156533,173.4009
"Mesophyllum erubescens",-40.5,172.676667
"Mesophyllum erubescens",-38.6836,178.031933
"Mesophyllum erubescens",-44,-176.675
"Mesophyllum erubescens",-40.87,174.920833
"Mesophyllum erubescens",-43.585,172.773833
